160 351
1 2 5
1 3 5
1 4 3
1 5 3
2 3 1
2 4 5
2 5 2
3 4 3
3 5 4
4 5 1
5 6 1
6 7 1
6 8 4
6 9 5
6 10 1
7 8 2
7 9 1
7 10 4
8 9 2
8 10 5
9 10 3
10 11 5
11 12 2
11 13 5
11 14 3
11 15 5
12 13 1
12 14 4
12 15 3
13 14 1
13 15 3
14 15 2
15 16 1
16 17 1
16 18 4
16 19 3
16 20 2
17 18 4
17 19 4
17 20 2
18 19 4
18 20 4
19 20 5
20 21 2
21 22 2
21 23 5
21 24 5
21 25 2
22 23 3
22 24 4
22 25 2
23 24 1
23 25 5
24 25 2
25 26 5
26 27 5
26 28 1
26 29 2
26 30 5
27 28 2
27 29 3
27 30 3
28 29 2
28 30 2
29 30 5
30 31 4
31 32 4
31 33 5
31 34 3
31 35 2
32 33 4
32 34 1
32 35 5
33 34 5
33 35 3
34 35 5
35 36 4
36 37 1
36 38 4
36 39 1
36 40 1
37 38 5
37 39 4
37 40 3
38 39 2
38 40 4
39 40 3
40 41 2
41 42 1
41 43 3
41 44 2
41 45 4
42 43 5
42 44 2
42 45 4
43 44 2
43 45 4
44 45 3
45 46 1
46 47 2
46 48 1
46 49 4
46 50 1
47 48 1
47 49 3
47 50 3
48 49 5
48 50 3
49 50 3
50 51 3
51 52 4
51 53 3
51 54 4
51 55 5
52 53 5
52 54 2
52 55 3
53 54 2
53 55 5
54 55 1
55 56 3
56 57 5
56 58 5
56 59 1
56 60 1
57 58 1
57 59 1
57 60 3
58 59 3
58 60 5
59 60 1
60 61 5
61 62 5
61 63 1
61 64 5
61 65 5
62 63 5
62 64 5
62 65 3
63 64 2
63 65 1
64 65 4
65 66 3
66 67 3
66 68 3
66 69 4
66 70 1
67 68 5
67 69 5
67 70 4
68 69 1
68 70 3
69 70 1
70 71 4
71 72 4
71 73 5
71 74 4
71 75 5
72 73 1
72 74 4
72 75 5
73 74 1
73 75 4
74 75 1
75 76 1
76 77 3
76 78 4
76 79 2
76 80 4
77 78 1
77 79 3
77 80 1
78 79 1
78 80 3
79 80 1
80 81 1
81 82 2
81 83 4
81 84 1
81 85 4
82 83 4
82 84 5
82 85 3
83 84 2
83 85 5
84 85 1
85 86 4
86 87 5
86 88 4
86 89 5
86 90 4
87 88 5
87 89 3
87 90 1
88 89 5
88 90 2
89 90 5
90 91 2
91 92 1
91 93 4
91 94 5
91 95 2
92 93 2
92 94 4
92 95 5
93 94 1
93 95 5
94 95 5
95 96 1
96 97 2
96 98 1
96 99 5
96 100 2
97 98 3
97 99 5
97 100 2
98 99 2
98 100 2
99 100 2
100 101 2
101 102 4
101 103 4
101 104 3
101 105 2
102 103 3
102 104 3
102 105 5
103 104 2
103 105 4
104 105 4
105 106 4
106 107 4
106 108 2
106 109 1
106 110 4
107 108 4
107 109 4
107 110 4
108 109 3
108 110 1
109 110 5
110 111 2
111 112 4
111 113 1
111 114 3
111 115 5
112 113 3
112 114 4
112 115 1
113 114 2
113 115 2
114 115 1
115 116 5
116 117 2
116 118 4
116 119 2
116 120 3
117 118 1
117 119 3
117 120 5
118 119 5
118 120 5
119 120 2
120 121 3
121 122 2
121 123 1
121 124 3
121 125 1
122 123 5
122 124 2
122 125 4
123 124 3
123 125 5
124 125 1
125 126 1
126 127 2
126 128 4
126 129 5
126 130 3
127 128 2
127 129 5
127 130 2
128 129 4
128 130 5
129 130 4
130 131 5
131 132 1
131 133 3
131 134 2
131 135 2
132 133 3
132 134 1
132 135 4
133 134 1
133 135 3
134 135 4
135 136 5
136 137 4
136 138 3
136 139 5
136 140 1
137 138 3
137 139 5
137 140 5
138 139 3
138 140 1
139 140 4
140 141 2
141 142 4
141 143 3
141 144 2
141 145 2
142 143 3
142 144 1
142 145 5
143 144 1
143 145 5
144 145 4
145 146 3
146 147 3
146 148 4
146 149 4
146 150 5
147 148 5
147 149 2
147 150 3
148 149 3
148 150 5
149 150 5
150 151 4
151 152 1
151 153 4
151 154 5
151 155 1
152 153 1
152 154 2
152 155 4
153 154 2
153 155 1
154 155 4
155 156 3
156 157 1
156 158 1
156 159 4
156 160 4
157 158 5
157 159 4
157 160 5
158 159 1
158 160 4
159 160 1
