160 351
1 2 5
1 3 2
1 4 5
1 5 2
2 3 2
2 4 1
2 5 1
3 4 4
3 5 5
4 5 5
5 6 5
6 7 2
6 8 3
6 9 5
6 10 1
7 8 2
7 9 1
7 10 2
8 9 3
8 10 1
9 10 3
10 11 4
11 12 3
11 13 5
11 14 3
11 15 3
12 13 4
12 14 2
12 15 5
13 14 4
13 15 1
14 15 5
15 16 4
16 17 4
16 18 4
16 19 4
16 20 3
17 18 5
17 19 3
17 20 4
18 19 4
18 20 4
19 20 5
20 21 4
21 22 4
21 23 2
21 24 3
21 25 1
22 23 3
22 24 5
22 25 3
23 24 4
23 25 4
24 25 3
25 26 1
26 27 5
26 28 1
26 29 4
26 30 5
27 28 4
27 29 4
27 30 5
28 29 2
28 30 5
29 30 3
30 31 2
31 32 3
31 33 4
31 34 2
31 35 3
32 33 4
32 34 2
32 35 2
33 34 3
33 35 3
34 35 4
35 36 4
36 37 4
36 38 2
36 39 5
36 40 3
37 38 4
37 39 1
37 40 3
38 39 3
38 40 5
39 40 5
40 41 3
41 42 5
41 43 5
41 44 2
41 45 1
42 43 3
42 44 5
42 45 5
43 44 5
43 45 3
44 45 5
45 46 3
46 47 5
46 48 2
46 49 3
46 50 4
47 48 3
47 49 2
47 50 4
48 49 5
48 50 3
49 50 5
50 51 1
51 52 5
51 53 5
51 54 4
51 55 3
52 53 4
52 54 2
52 55 2
53 54 1
53 55 5
54 55 2
55 56 4
56 57 4
56 58 2
56 59 3
56 60 1
57 58 4
57 59 1
57 60 5
58 59 3
58 60 4
59 60 1
60 61 2
61 62 5
61 63 5
61 64 3
61 65 3
62 63 5
62 64 2
62 65 5
63 64 3
63 65 4
64 65 4
65 66 4
66 67 3
66 68 5
66 69 4
66 70 3
67 68 2
67 69 4
67 70 5
68 69 2
68 70 1
69 70 1
70 71 3
71 72 5
71 73 4
71 74 2
71 75 1
72 73 3
72 74 1
72 75 1
73 74 3
73 75 3
74 75 3
75 76 3
76 77 2
76 78 5
76 79 4
76 80 1
77 78 2
77 79 5
77 80 5
78 79 3
78 80 4
79 80 3
80 81 1
81 82 5
81 83 3
81 84 1
81 85 5
82 83 4
82 84 3
82 85 1
83 84 3
83 85 4
84 85 1
85 86 5
86 87 4
86 88 5
86 89 1
86 90 3
87 88 3
87 89 4
87 90 4
88 89 4
88 90 5
89 90 4
90 91 3
91 92 5
91 93 3
91 94 2
91 95 4
92 93 3
92 94 4
92 95 5
93 94 4
93 95 4
94 95 3
95 96 3
96 97 4
96 98 4
96 99 1
96 100 1
97 98 5
97 99 4
97 100 2
98 99 3
98 100 1
99 100 4
100 101 5
101 102 1
101 103 5
101 104 2
101 105 1
102 103 1
102 104 4
102 105 2
103 104 1
103 105 3
104 105 4
105 106 3
106 107 1
106 108 1
106 109 1
106 110 5
107 108 4
107 109 2
107 110 1
108 109 2
108 110 5
109 110 3
110 111 4
111 112 1
111 113 3
111 114 1
111 115 5
112 113 1
112 114 3
112 115 2
113 114 2
113 115 3
114 115 2
115 116 3
116 117 4
116 118 4
116 119 4
116 120 1
117 118 5
117 119 4
117 120 4
118 119 4
118 120 1
119 120 1
120 121 5
121 122 2
121 123 5
121 124 2
121 125 3
122 123 2
122 124 2
122 125 4
123 124 5
123 125 5
124 125 4
125 126 1
126 127 2
126 128 1
126 129 4
126 130 1
127 128 3
127 129 2
127 130 2
128 129 5
128 130 3
129 130 2
130 131 5
131 132 4
131 133 4
131 134 4
131 135 1
132 133 3
132 134 3
132 135 2
133 134 5
133 135 5
134 135 3
135 136 3
136 137 3
136 138 2
136 139 4
136 140 5
137 138 3
137 139 1
137 140 3
138 139 4
138 140 3
139 140 1
140 141 3
141 142 1
141 143 3
141 144 1
141 145 1
142 143 2
142 144 4
142 145 4
143 144 3
143 145 4
144 145 3
145 146 2
146 147 4
146 148 2
146 149 5
146 150 4
147 148 5
147 149 3
147 150 5
148 149 1
148 150 1
149 150 5
150 151 4
151 152 1
151 153 3
151 154 1
151 155 5
152 153 1
152 154 3
152 155 5
153 154 5
153 155 5
154 155 2
155 156 3
156 157 4
156 158 4
156 159 1
156 160 4
157 158 2
157 159 1
157 160 4
158 159 5
158 160 4
159 160 4
