160 351
8 53 1
8 22 2
8 85 4
53 85 1
22 53 4
22 85 2
2 8 1
2 53 2
2 22 1
2 85 2
85 96 5
96 154 5
96 131 2
41 96 2
41 154 4
41 131 1
20 96 3
20 41 1
20 154 1
20 131 5
131 154 3
89 121 1
89 131 4
24 89 2
24 121 2
24 55 1
24 48 2
55 89 4
55 121 2
48 89 5
48 121 3
48 55 1
48 132 2
16 132 1
16 113 2
16 106 2
16 116 1
113 132 1
113 116 2
106 132 5
106 113 5
106 116 3
116 132 5
58 152 5
58 142 2
58 136 3
58 116 5
44 58 3
44 152 3
44 142 2
44 136 1
142 152 3
136 152 2
136 142 4
9 46 1
9 18 5
9 57 4
9 75 2
9 136 5
46 57 1
46 75 5
18 46 4
18 57 2
18 75 3
57 75 3
1 65 3
1 64 4
1 156 1
1 99 5
1 75 1
65 156 2
65 99 5
64 65 3
64 156 4
64 99 5
99 156 5
99 153 5
153 157 1
140 153 3
140 157 5
108 153 3
108 140 5
108 157 3
62 153 5
62 140 1
62 108 1
62 157 3
62 122 1
91 122 3
91 100 4
60 122 4
60 91 5
60 100 4
45 122 1
45 91 5
45 60 5
45 100 1
100 122 4
100 102 4
102 111 5
17 102 5
17 29 1
17 54 2
17 111 1
29 102 1
29 54 4
29 111 1
54 102 1
54 111 3
38 49 3
38 67 5
38 126 1
38 111 5
4 38 5
4 49 3
4 67 1
4 126 1
49 67 4
49 126 5
67 126 4
101 110 4
101 135 4
101 114 1
101 128 1
101 126 4
110 135 1
110 114 4
110 128 5
114 135 5
114 128 4
128 135 1
31 134 4
31 66 1
31 138 5
31 128 1
134 138 4
66 134 4
66 138 4
10 31 5
10 134 4
10 66 2
10 138 5
10 52 4
52 150 4
52 141 1
52 68 1
141 150 3
68 150 4
68 141 3
23 52 5
23 150 5
23 141 2
23 68 4
23 118 2
118 125 5
28 118 5
28 103 3
28 125 4
28 117 3
103 118 2
103 125 1
103 117 5
117 118 2
117 125 2
117 139 2
139 148 3
26 139 5
26 148 1
26 78 4
26 33 3
78 139 2
78 148 4
33 139 2
33 148 3
33 78 1
33 37 5
37 92 3
37 50 3
37 158 4
36 37 5
36 92 1
36 50 2
36 158 1
92 158 5
50 92 2
50 158 5
107 151 3
107 147 2
107 158 2
69 107 5
69 70 2
69 151 5
69 147 1
70 107 5
70 151 3
70 147 1
147 151 5
94 159 2
94 147 5
79 94 5
79 90 2
79 159 2
90 94 1
90 159 4
35 94 1
35 79 4
35 90 3
35 159 1
3 32 1
3 104 4
3 144 3
3 160 4
3 159 5
32 104 5
32 144 1
32 160 3
104 144 1
104 160 3
144 160 4
40 123 4
40 76 1
40 115 1
40 43 3
40 160 1
76 123 4
76 115 4
115 123 5
43 123 2
43 76 1
43 115 5
43 59 5
59 73 5
59 105 4
59 95 5
51 59 4
51 73 1
51 105 4
51 95 1
73 105 3
73 95 3
95 105 5
95 98 2
98 133 1
12 98 3
12 133 2
12 97 3
12 87 3
97 98 5
97 133 1
87 98 5
87 133 4
87 97 3
87 127 1
88 127 1
88 93 3
56 127 2
56 88 1
56 93 2
56 63 2
93 127 3
63 127 1
63 88 5
63 93 2
14 86 3
14 109 4
14 63 5
6 14 3
6 13 2
6 86 1
6 109 4
13 14 4
13 86 5
13 109 3
86 109 5
5 137 2
5 80 4
5 130 4
5 155 4
5 109 5
137 155 1
80 137 5
80 130 5
80 155 3
130 137 3
130 155 1
129 146 4
129 155 3
77 129 2
77 120 1
77 124 2
77 146 1
120 129 4
120 124 2
120 146 3
124 129 1
124 146 5
25 39 5
25 82 5
25 143 1
25 146 1
21 25 4
21 39 5
21 82 5
21 143 2
39 82 3
39 143 1
82 143 4
47 143 4
30 47 3
30 34 3
11 47 3
11 30 5
11 27 1
11 34 3
27 47 3
27 30 5
27 34 2
34 47 4
34 74 3
74 112 2
74 81 5
74 84 5
81 112 4
81 84 4
84 112 1
15 74 5
15 112 5
15 81 3
15 84 2
15 119 3
119 145 4
71 119 5
71 145 3
7 119 1
7 71 5
7 61 3
7 145 4
61 119 4
61 71 5
61 145 1
19 72 5
19 149 4
19 42 2
19 83 4
19 145 1
72 149 1
72 83 4
42 72 1
42 149 5
42 83 2
83 149 1
