40 87
6 37 2
6 33 1
6 14 1
33 37 2
14 37 3
14 33 4
2 37 1
2 6 3
2 33 1
2 14 2
2 27 4
27 28 5
22 27 1
22 28 5
17 27 5
17 28 1
17 22 1
17 20 2
20 27 4
20 28 1
20 22 2
20 35 5
9 35 2
9 24 3
9 32 4
9 23 5
24 35 5
24 32 5
32 35 1
23 35 3
23 24 5
23 32 1
23 40 3
21 40 3
21 34 1
21 25 3
18 40 2
18 21 2
18 34 3
18 25 3
34 40 2
25 40 2
25 34 1
3 10 1
3 31 3
3 16 4
3 29 3
3 25 4
10 31 1
10 16 2
10 29 4
16 31 1
16 29 3
29 31 4
11 19 4
11 30 5
11 29 5
1 11 3
1 19 3
1 7 3
1 30 4
19 30 2
7 11 5
7 19 5
7 30 3
26 36 4
26 39 1
26 30 5
13 26 4
13 36 3
13 39 1
36 39 5
8 26 2
8 13 1
8 36 5
8 39 1
5 12 4
5 38 1
5 15 2
5 39 4
12 38 1
12 15 1
4 5 4
4 12 5
4 38 1
4 15 1
15 38 1
