80 175
5 31 3
5 47 1
5 69 2
5 22 1
31 47 2
31 69 4
47 69 4
22 31 5
22 47 5
22 69 3
22 60 4
60 66 5
41 60 4
41 66 5
40 60 4
40 66 3
40 41 2
36 60 3
36 66 4
36 41 4
36 40 4
1 33 1
1 30 5
1 15 1
1 70 3
1 36 3
33 70 3
30 33 5
30 70 5
15 33 4
15 30 1
15 70 3
61 76 2
61 70 4
44 61 4
44 76 2
16 61 4
16 44 4
16 76 5
10 61 3
10 44 4
10 76 5
10 16 1
2 21 5
2 25 3
2 32 3
2 18 2
2 10 1
21 25 3
21 32 1
25 32 3
18 21 2
18 25 1
18 32 4
18 59 4
58 59 3
49 59 2
49 58 1
11 59 4
11 58 3
11 49 3
7 59 1
7 58 3
7 49 5
7 11 5
7 24 5
24 67 2
24 64 2
13 24 5
13 67 2
13 19 4
13 64 3
19 24 1
19 67 2
19 64 5
64 67 4
8 28 5
8 34 1
8 54 3
8 50 3
8 64 4
28 34 5
28 54 1
28 50 3
34 54 2
34 50 4
50 54 2
50 52 3
46 52 5
39 52 4
39 46 3
39 43 5
6 52 3
6 46 5
6 39 1
6 43 3
43 52 4
43 46 1
4 77 5
4 53 1
4 48 2
4 78 4
4 43 1
77 78 4
53 77 5
53 78 4
48 77 5
48 53 4
48 78 2
35 55 1
35 65 5
35 78 4
55 65 2
14 35 2
14 55 2
14 65 3
9 35 5
9 55 3
9 14 3
9 65 2
56 63 1
56 79 4
56 65 5
12 56 2
12 63 4
12 79 2
63 79 3
3 56 3
3 12 5
3 63 1
3 79 2
73 79 1
71 73 2
26 73 2
26 71 2
26 57 1
26 45 1
57 73 4
57 71 4
45 73 4
45 71 5
45 57 3
38 68 1
38 80 2
38 42 2
38 45 1
68 80 5
27 38 5
27 68 2
27 80 2
27 42 5
42 68 1
42 80 4
42 72 5
72 75 4
72 74 2
29 72 3
29 75 4
29 74 3
29 37 2
74 75 4
37 72 2
37 75 2
37 74 5
37 62 2
23 62 5
23 51 5
17 62 4
17 23 2
17 51 3
17 20 3
51 62 3
20 62 5
20 23 5
20 51 2
