80 175
2 34 1
2 31 3
2 50 5
2 41 2
34 50 1
34 41 1
31 34 5
31 50 5
31 41 3
41 50 1
4 38 1
4 68 5
4 46 1
4 47 1
4 41 1
38 68 5
38 46 4
38 47 5
46 68 2
46 47 2
47 68 4
18 54 3
18 66 4
18 47 3
54 66 3
1 18 2
1 54 5
1 66 4
1 9 2
9 18 1
9 54 5
9 66 3
9 35 2
35 44 2
35 72 4
44 72 1
19 35 1
19 44 2
19 72 3
19 21 4
21 35 4
21 44 5
21 72 2
21 76 5
52 76 3
52 59 1
52 71 2
11 76 3
11 52 4
11 59 4
11 71 4
59 76 5
59 71 3
71 76 2
60 71 1
33 60 1
33 45 5
33 42 5
45 60 1
42 60 2
42 45 3
10 60 3
10 33 5
10 45 2
10 42 4
10 69 5
12 69 5
12 43 2
12 56 3
12 30 5
43 69 5
43 56 4
56 69 3
30 69 3
30 43 2
30 56 1
30 37 3
37 61 3
37 40 5
37 80 1
37 73 3
61 80 5
61 73 3
40 61 2
40 80 3
40 73 5
73 80 5
73 79 5
27 79 2
27 32 5
27 57 4
27 48 3
32 79 1
32 57 2
32 48 2
57 79 4
48 79 3
48 57 4
16 75 4
16 39 2
16 20 1
16 48 2
6 16 3
6 75 2
6 39 2
6 20 3
39 75 3
20 75 2
20 39 3
20 26 4
26 65 2
26 49 5
26 78 5
26 62 3
65 78 4
49 65 4
49 78 3
49 62 1
62 65 5
62 78 3
62 63 2
63 77 2
63 70 3
70 77 4
5 63 3
5 77 5
5 70 2
5 14 1
14 63 2
14 77 2
14 70 4
14 64 5
15 64 3
15 24 5
15 55 5
15 53 3
24 64 3
24 55 4
24 53 1
55 64 4
53 64 2
53 55 3
3 7 5
3 51 1
3 13 3
3 22 1
3 53 3
7 51 5
7 13 3
7 22 2
13 51 2
13 22 2
22 51 2
22 29 1
29 36 5
29 67 3
36 67 5
23 29 2
23 36 3
23 67 2
17 29 4
17 36 2
17 67 5
17 23 1
17 58 3
58 74 4
8 58 2
8 74 3
8 25 3
8 28 2
25 58 1
25 74 1
25 28 2
28 58 4
28 74 5
