49 84
1 2 1
1 8 1
2 3 2
2 9 5
3 4 2
3 10 3
4 5 3
4 11 2
5 6 1
5 12 5
6 7 5
6 13 3
7 14 1
8 9 3
8 15 1
9 10 2
9 16 4
10 11 2
10 17 3
11 12 2
11 18 1
12 13 3
12 19 2
13 14 5
13 20 3
14 21 2
15 16 4
15 22 2
16 17 2
16 23 2
17 18 1
17 24 5
18 19 3
18 25 2
19 20 1
19 26 3
20 21 3
20 27 5
21 28 4
22 23 5
22 29 4
23 24 1
23 30 2
24 25 1
24 31 2
25 26 4
25 32 4
26 27 4
26 33 2
27 28 3
27 34 2
28 35 2
29 30 5
29 36 1
30 31 5
30 37 5
31 32 2
31 38 4
32 33 4
32 39 3
33 34 5
33 40 4
34 35 1
34 41 4
35 42 5
36 37 4
36 43 5
37 38 5
37 44 1
38 39 5
38 45 1
39 40 5
39 46 5
40 41 3
40 47 4
41 42 2
41 48 5
42 49 5
43 44 1
44 45 4
45 46 1
46 47 4
47 48 2
48 49 5
