100 180
1 2 5
1 11 4
2 3 2
2 12 5
3 4 1
3 13 4
4 5 1
4 14 3
5 6 3
5 15 5
6 7 1
6 16 5
7 8 2
7 17 5
8 9 2
8 18 2
9 10 2
9 19 2
10 20 2
11 12 4
11 21 4
12 13 2
12 22 3
13 14 3
13 23 1
14 15 5
14 24 3
15 16 5
15 25 2
16 17 2
16 26 5
17 18 4
17 27 3
18 19 4
18 28 1
19 20 3
19 29 4
20 30 3
21 22 5
21 31 3
22 23 1
22 32 1
23 24 1
23 33 2
24 25 4
24 34 2
25 26 3
25 35 4
26 27 2
26 36 5
27 28 2
27 37 5
28 29 4
28 38 2
29 30 2
29 39 4
30 40 5
31 32 5
31 41 5
32 33 2
32 42 4
33 34 1
33 43 1
34 35 1
34 44 4
35 36 1
35 45 4
36 37 3
36 46 4
37 38 1
37 47 3
38 39 5
38 48 2
39 40 3
39 49 1
40 50 4
41 42 1
41 51 1
42 43 3
42 52 1
43 44 5
43 53 4
44 45 4
44 54 3
45 46 3
45 55 3
46 47 1
46 56 1
47 48 3
47 57 1
48 49 3
48 58 5
49 50 4
49 59 1
50 60 2
51 52 2
51 61 3
52 53 3
52 62 5
53 54 1
53 63 3
54 55 1
54 64 2
55 56 2
55 65 3
56 57 2
56 66 2
57 58 4
57 67 1
58 59 4
58 68 4
59 60 3
59 69 2
60 70 5
61 62 3
61 71 4
62 63 2
62 72 3
63 64 5
63 73 5
64 65 4
64 74 4
65 66 5
65 75 5
66 67 4
66 76 5
67 68 2
67 77 4
68 69 4
68 78 5
69 70 5
69 79 3
70 80 4
71 72 3
71 81 5
72 73 1
72 82 1
73 74 2
73 83 2
74 75 4
74 84 2
75 76 4
75 85 5
76 77 4
76 86 2
77 78 1
77 87 2
78 79 1
78 88 4
79 80 1
79 89 1
80 90 4
81 82 4
81 91 1
82 83 4
82 92 3
83 84 1
83 93 3
84 85 2
84 94 3
85 86 3
85 95 4
86 87 1
86 96 5
87 88 3
87 97 1
88 89 3
88 98 3
89 90 3
89 99 3
90 100 1
91 92 3
92 93 4
93 94 4
94 95 4
95 96 3
96 97 1
97 98 2
98 99 5
99 100 5
