100 180
1 2 4
1 11 3
2 3 5
2 12 2
3 4 5
3 13 4
4 5 5
4 14 4
5 6 5
5 15 2
6 7 3
6 16 3
7 8 2
7 17 2
8 9 4
8 18 2
9 10 5
9 19 2
10 20 3
11 12 3
11 21 3
12 13 5
12 22 4
13 14 5
13 23 4
14 15 1
14 24 2
15 16 1
15 25 3
16 17 4
16 26 4
17 18 4
17 27 3
18 19 1
18 28 3
19 20 5
19 29 1
20 30 4
21 22 2
21 31 2
22 23 1
22 32 5
23 24 3
23 33 5
24 25 1
24 34 3
25 26 5
25 35 3
26 27 3
26 36 3
27 28 2
27 37 3
28 29 4
28 38 5
29 30 1
29 39 3
30 40 5
31 32 4
31 41 2
32 33 5
32 42 4
33 34 5
33 43 5
34 35 3
34 44 4
35 36 5
35 45 5
36 37 3
36 46 2
37 38 1
37 47 4
38 39 4
38 48 2
39 40 1
39 49 2
40 50 1
41 42 3
41 51 4
42 43 2
42 52 1
43 44 3
43 53 3
44 45 1
44 54 4
45 46 5
45 55 1
46 47 5
46 56 5
47 48 1
47 57 1
48 49 2
48 58 2
49 50 2
49 59 3
50 60 5
51 52 4
51 61 3
52 53 2
52 62 4
53 54 1
53 63 4
54 55 5
54 64 1
55 56 5
55 65 4
56 57 3
56 66 3
57 58 3
57 67 5
58 59 5
58 68 4
59 60 5
59 69 5
60 70 1
61 62 1
61 71 1
62 63 1
62 72 5
63 64 3
63 73 2
64 65 1
64 74 5
65 66 2
65 75 5
66 67 3
66 76 2
67 68 1
67 77 2
68 69 5
68 78 3
69 70 3
69 79 1
70 80 3
71 72 3
71 81 5
72 73 4
72 82 4
73 74 5
73 83 5
74 75 1
74 84 2
75 76 3
75 85 1
76 77 2
76 86 1
77 78 1
77 87 1
78 79 4
78 88 3
79 80 3
79 89 4
80 90 1
81 82 4
81 91 5
82 83 4
82 92 3
83 84 5
83 93 3
84 85 2
84 94 3
85 86 5
85 95 4
86 87 4
86 96 2
87 88 1
87 97 5
88 89 2
88 98 4
89 90 1
89 99 3
90 100 3
91 92 5
92 93 4
93 94 4
94 95 4
95 96 1
96 97 3
97 98 2
98 99 1
99 100 4
