100 180
1 2 5
1 11 5
2 3 2
2 12 1
3 4 5
3 13 5
4 5 5
4 14 2
5 6 2
5 15 4
6 7 1
6 16 2
7 8 1
7 17 1
8 9 5
8 18 1
9 10 5
9 19 1
10 20 1
11 12 4
11 21 1
12 13 4
12 22 4
13 14 2
13 23 2
14 15 5
14 24 3
15 16 5
15 25 1
16 17 5
16 26 1
17 18 4
17 27 5
18 19 1
18 28 1
19 20 5
19 29 2
20 30 4
21 22 1
21 31 4
22 23 3
22 32 2
23 24 5
23 33 4
24 25 3
24 34 1
25 26 2
25 35 4
26 27 4
26 36 1
27 28 1
27 37 1
28 29 4
28 38 5
29 30 5
29 39 5
30 40 2
31 32 3
31 41 4
32 33 5
32 42 2
33 34 2
33 43 5
34 35 4
34 44 4
35 36 2
35 45 3
36 37 2
36 46 4
37 38 4
37 47 2
38 39 3
38 48 2
39 40 2
39 49 3
40 50 1
41 42 3
41 51 2
42 43 5
42 52 3
43 44 2
43 53 2
44 45 4
44 54 1
45 46 2
45 55 2
46 47 3
46 56 5
47 48 3
47 57 5
48 49 4
48 58 1
49 50 2
49 59 4
50 60 4
51 52 4
51 61 3
52 53 3
52 62 2
53 54 5
53 63 3
54 55 3
54 64 4
55 56 4
55 65 5
56 57 3
56 66 5
57 58 5
57 67 2
58 59 1
58 68 2
59 60 3
59 69 2
60 70 3
61 62 1
61 71 3
62 63 4
62 72 5
63 64 3
63 73 5
64 65 2
64 74 5
65 66 1
65 75 2
66 67 3
66 76 3
67 68 5
67 77 4
68 69 3
68 78 1
69 70 1
69 79 2
70 80 5
71 72 3
71 81 1
72 73 1
72 82 2
73 74 5
73 83 3
74 75 1
74 84 2
75 76 3
75 85 3
76 77 2
76 86 2
77 78 1
77 87 2
78 79 4
78 88 5
79 80 2
79 89 1
80 90 5
81 82 2
81 91 2
82 83 5
82 92 3
83 84 3
83 93 1
84 85 3
84 94 1
85 86 2
85 95 2
86 87 1
86 96 4
87 88 4
87 97 4
88 89 1
88 98 4
89 90 4
89 99 1
90 100 5
91 92 4
92 93 4
93 94 2
94 95 4
95 96 3
96 97 2
97 98 1
98 99 1
99 100 3
