50 1225
1 2 4
1 3 5
1 4 1
1 5 1
1 6 3
1 7 2
1 8 5
1 9 5
1 10 5
1 11 1
1 12 5
1 13 2
1 14 3
1 15 3
1 16 3
1 17 4
1 18 3
1 19 4
1 20 5
1 21 5
1 22 2
1 23 2
1 24 3
1 25 1
1 26 5
1 27 4
1 28 4
1 29 4
1 30 1
1 31 5
1 32 1
1 33 3
1 34 5
1 35 5
1 36 4
1 37 3
1 38 1
1 39 5
1 40 5
1 41 3
1 42 5
1 43 5
1 44 5
1 45 5
1 46 1
1 47 2
1 48 2
1 49 4
1 50 5
2 3 5
2 4 5
2 5 1
2 6 3
2 7 1
2 8 3
2 9 1
2 10 3
2 11 4
2 12 2
2 13 5
2 14 1
2 15 1
2 16 4
2 17 5
2 18 2
2 19 4
2 20 5
2 21 5
2 22 1
2 23 1
2 24 1
2 25 5
2 26 1
2 27 2
2 28 2
2 29 4
2 30 4
2 31 4
2 32 4
2 33 1
2 34 1
2 35 3
2 36 4
2 37 3
2 38 2
2 39 1
2 40 1
2 41 1
2 42 2
2 43 4
2 44 2
2 45 5
2 46 1
2 47 5
2 48 1
2 49 2
2 50 4
3 4 1
3 5 1
3 6 1
3 7 4
3 8 3
3 9 1
3 10 1
3 11 5
3 12 3
3 13 5
3 14 4
3 15 4
3 16 4
3 17 2
3 18 1
3 19 1
3 20 2
3 21 1
3 22 5
3 23 5
3 24 4
3 25 5
3 26 2
3 27 3
3 28 1
3 29 5
3 30 2
3 31 3
3 32 1
3 33 1
3 34 2
3 35 2
3 36 1
3 37 4
3 38 2
3 39 2
3 40 3
3 41 5
3 42 3
3 43 2
3 44 4
3 45 5
3 46 1
3 47 5
3 48 3
3 49 4
3 50 5
4 5 3
4 6 4
4 7 3
4 8 5
4 9 4
4 10 5
4 11 2
4 12 2
4 13 1
4 14 4
4 15 5
4 16 4
4 17 4
4 18 3
4 19 3
4 20 2
4 21 5
4 22 4
4 23 5
4 24 5
4 25 4
4 26 5
4 27 1
4 28 1
4 29 3
4 30 5
4 31 5
4 32 2
4 33 1
4 34 5
4 35 1
4 36 1
4 37 5
4 38 5
4 39 5
4 40 3
4 41 1
4 42 1
4 43 5
4 44 1
4 45 5
4 46 3
4 47 2
4 48 3
4 49 3
4 50 2
5 6 5
5 7 1
5 8 1
5 9 3
5 10 4
5 11 3
5 12 2
5 13 3
5 14 1
5 15 4
5 16 4
5 17 4
5 18 4
5 19 1
5 20 3
5 21 1
5 22 1
5 23 2
5 24 4
5 25 3
5 26 2
5 27 1
5 28 1
5 29 1
5 30 5
5 31 4
5 32 1
5 33 2
5 34 3
5 35 4
5 36 5
5 37 5
5 38 4
5 39 2
5 40 3
5 41 2
5 42 4
5 43 5
5 44 3
5 45 4
5 46 5
5 47 1
5 48 2
5 49 3
5 50 4
6 7 5
6 8 5
6 9 4
6 10 4
6 11 5
6 12 5
6 13 1
6 14 2
6 15 5
6 16 3
6 17 3
6 18 5
6 19 5
6 20 5
6 21 1
6 22 3
6 23 5
6 24 5
6 25 2
6 26 2
6 27 3
6 28 2
6 29 2
6 30 1
6 31 5
6 32 3
6 33 4
6 34 4
6 35 4
6 36 2
6 37 1
6 38 3
6 39 2
6 40 3
6 41 5
6 42 4
6 43 1
6 44 2
6 45 4
6 46 2
6 47 5
6 48 3
6 49 3
6 50 1
7 8 4
7 9 3
7 10 5
7 11 3
7 12 1
7 13 2
7 14 4
7 15 5
7 16 3
7 17 5
7 18 4
7 19 4
7 20 3
7 21 2
7 22 3
7 23 2
7 24 4
7 25 1
7 26 2
7 27 4
7 28 1
7 29 5
7 30 2
7 31 1
7 32 5
7 33 5
7 34 5
7 35 2
7 36 2
7 37 2
7 38 2
7 39 3
7 40 4
7 41 5
7 42 5
7 43 3
7 44 1
7 45 1
7 46 4
7 47 4
7 48 1
7 49 2
7 50 3
8 9 1
8 10 2
8 11 4
8 12 2
8 13 5
8 14 1
8 15 2
8 16 4
8 17 5
8 18 5
8 19 1
8 20 4
8 21 3
8 22 4
8 23 1
8 24 1
8 25 2
8 26 2
8 27 2
8 28 3
8 29 2
8 30 1
8 31 4
8 32 1
8 33 5
8 34 3
8 35 1
8 36 4
8 37 3
8 38 2
8 39 4
8 40 5
8 41 3
8 42 1
8 43 1
8 44 4
8 45 5
8 46 5
8 47 4
8 48 4
8 49 5
8 50 4
9 10 3
9 11 3
9 12 5
9 13 5
9 14 3
9 15 4
9 16 4
9 17 2
9 18 2
9 19 3
9 20 2
9 21 5
9 22 5
9 23 3
9 24 5
9 25 5
9 26 5
9 27 3
9 28 2
9 29 2
9 30 3
9 31 1
9 32 3
9 33 5
9 34 2
9 35 3
9 36 3
9 37 2
9 38 5
9 39 3
9 40 2
9 41 2
9 42 5
9 43 5
9 44 5
9 45 2
9 46 3
9 47 4
9 48 2
9 49 4
9 50 1
10 11 5
10 12 2
10 13 2
10 14 3
10 15 4
10 16 3
10 17 4
10 18 4
10 19 2
10 20 1
10 21 5
10 22 2
10 23 4
10 24 1
10 25 2
10 26 3
10 27 4
10 28 3
10 29 5
10 30 1
10 31 4
10 32 3
10 33 3
10 34 4
10 35 5
10 36 4
10 37 1
10 38 5
10 39 3
10 40 1
10 41 3
10 42 1
10 43 5
10 44 4
10 45 1
10 46 5
10 47 3
10 48 5
10 49 4
10 50 5
11 12 4
11 13 3
11 14 5
11 15 2
11 16 3
11 17 2
11 18 2
11 19 4
11 20 3
11 21 2
11 22 4
11 23 3
11 24 4
11 25 3
11 26 2
11 27 4
11 28 2
11 29 1
11 30 1
11 31 2
11 32 3
11 33 3
11 34 5
11 35 1
11 36 2
11 37 4
11 38 2
11 39 1
11 40 5
11 41 3
11 42 2
11 43 5
11 44 5
11 45 3
11 46 2
11 47 1
11 48 2
11 49 3
11 50 5
12 13 2
12 14 2
12 15 5
12 16 2
12 17 3
12 18 3
12 19 4
12 20 2
12 21 3
12 22 5
12 23 4
12 24 5
12 25 3
12 26 5
12 27 5
12 28 3
12 29 4
12 30 2
12 31 1
12 32 5
12 33 5
12 34 2
12 35 5
12 36 2
12 37 5
12 38 3
12 39 1
12 40 3
12 41 5
12 42 3
12 43 3
12 44 1
12 45 2
12 46 4
12 47 2
12 48 4
12 49 4
12 50 3
13 14 2
13 15 1
13 16 2
13 17 2
13 18 1
13 19 2
13 20 5
13 21 2
13 22 4
13 23 3
13 24 3
13 25 5
13 26 4
13 27 5
13 28 5
13 29 1
13 30 2
13 31 1
13 32 3
13 33 1
13 34 4
13 35 1
13 36 1
13 37 1
13 38 1
13 39 2
13 40 4
13 41 1
13 42 1
13 43 1
13 44 2
13 45 2
13 46 3
13 47 3
13 48 1
13 49 3
13 50 5
14 15 1
14 16 2
14 17 1
14 18 5
14 19 5
14 20 1
14 21 4
14 22 5
14 23 3
14 24 5
14 25 4
14 26 4
14 27 4
14 28 2
14 29 5
14 30 1
14 31 4
14 32 1
14 33 1
14 34 5
14 35 3
14 36 3
14 37 2
14 38 4
14 39 1
14 40 3
14 41 4
14 42 2
14 43 2
14 44 3
14 45 3
14 46 5
14 47 3
14 48 2
14 49 1
14 50 2
15 16 4
15 17 4
15 18 3
15 19 1
15 20 4
15 21 4
15 22 4
15 23 5
15 24 5
15 25 3
15 26 1
15 27 4
15 28 4
15 29 5
15 30 3
15 31 3
15 32 2
15 33 2
15 34 1
15 35 3
15 36 2
15 37 5
15 38 4
15 39 4
15 40 2
15 41 3
15 42 5
15 43 3
15 44 1
15 45 5
15 46 4
15 47 3
15 48 1
15 49 3
15 50 1
16 17 1
16 18 1
16 19 3
16 20 2
16 21 2
16 22 1
16 23 2
16 24 4
16 25 5
16 26 4
16 27 1
16 28 1
16 29 2
16 30 5
16 31 4
16 32 1
16 33 4
16 34 4
16 35 5
16 36 2
16 37 2
16 38 5
16 39 1
16 40 2
16 41 1
16 42 3
16 43 5
16 44 3
16 45 3
16 46 5
16 47 1
16 48 5
16 49 1
16 50 3
17 18 4
17 19 1
17 20 3
17 21 3
17 22 5
17 23 1
17 24 2
17 25 1
17 26 4
17 27 1
