dimensionality, num_edges, population_size, success, median_num_eval
6,15,10,False,100000.0
6,15,50,False,28.0
6,15,100,True,27.0
6,15,500,True,31.0
6,15,1000,True,24.0
6,15,5000,True,19.0
6,15,10000,True,25.5
12,66,10,False,100000.0
12,66,50,False,50131.5
12,66,100,False,408.0
12,66,500,True,1529.5
12,66,1000,True,1130.5
12,66,5000,True,1364.0
12,66,10000,True,1340.5
25,300,10,False,100000.0
25,300,50,False,100000.0
25,300,100,False,100000.0
25,300,500,False,100000.0
25,300,1000,False,17510.0
25,300,5000,True,42196.0
25,300,10000,True,76915.0
50,1225,10,False,100000.0
50,1225,50,False,100000.0
50,1225,100,False,100000.0
50,1225,500,False,100000.0
50,1225,1000,False,100000.0
50,1225,5000,False,96501.0
50,1225,10000,False,100000.0
100,4950,10,False,100000.0
100,4950,50,False,100000.0
100,4950,100,False,100000.0
100,4950,500,False,100000.0
100,4950,1000,False,100000.0
100,4950,5000,False,100000.0
100,4950,10000,False,100000.0
