dimensionality, num_edges, population_size,success_rate, min, 10th_percentile,50th_percentile,90th_percentile, max
12,66,500,True,2523,2523,2523,2523,2523
50,1225,500,False,100000,100000,100000,100000,100000
12,66,500,True,830,830,830,830,830
50,1225,500,False,100000,100000,100000,100000,100000
12,66,500,True,908,908,908,908,908
50,1225,500,False,100000,100000,100000,100000,100000
50,1225,500,False,100000,100000,100000,100000,100000
25,300,500,False,100000,100000,100000,100000,100000
100,4950,500,False,100000,100000,100000,100000,100000
25,300,500,True,6055,6055,6055,6055,6055
6,15,500,True,23,23,23,23,23
50,1225,500,False,100000,100000,100000,100000,100000
6,15,500,True,7,7,7,7,7
12,66,500,True,1101,1101,1101,1101,1101
6,15,500,True,18,18,18,18,18
6,15,500,True,80,80,80,80,80
50,1225,500,False,100000,100000,100000,100000,100000
50,1225,500,False,100000,100000,100000,100000,100000
12,66,500,True,934,934,934,934,934
25,300,500,True,4484,4484,4484,4484,4484
25,300,500,False,100000,100000,100000,100000,100000
6,15,500,True,40,40,40,40,40
100,4950,500,False,100000,100000,100000,100000,100000
100,4950,500,False,100000,100000,100000,100000,100000
100,4950,500,False,100000,100000,100000,100000,100000
12,66,500,True,65,65,65,65,65
12,66,500,True,1165,1165,1165,1165,1165
12,66,500,True,789,789,789,789,789
12,66,500,True,209,209,209,209,209
100,4950,500,False,100000,100000,100000,100000,100000
6,15,500,True,33,33,33,33,33
100,4950,500,False,100000,100000,100000,100000,100000
25,300,500,False,100000,100000,100000,100000,100000
25,300,500,True,5023,5023,5023,5023,5023
50,1225,500,False,100000,100000,100000,100000,100000
6,15,500,True,3,3,3,3,3
100,4950,500,False,100000,100000,100000,100000,100000
50,1225,500,False,100000,100000,100000,100000,100000
50,1225,500,False,100000,100000,100000,100000,100000
25,300,500,False,100000,100000,100000,100000,100000
25,300,500,False,100000,100000,100000,100000,100000
25,300,500,False,100000,100000,100000,100000,100000
12,66,500,True,2316,2316,2316,2316,2316
100,4950,500,False,100000,100000,100000,100000,100000
100,4950,500,False,100000,100000,100000,100000,100000
25,300,500,False,100000,100000,100000,100000,100000
6,15,500,True,31,31,31,31,31
100,4950,500,False,100000,100000,100000,100000,100000
6,15,500,True,35,35,35,35,35
6,15,500,True,10,10,10,10,10
