dimensionality, num_edges, population_size, success, median_num_eval
6,15,10,False,100000.0
6,15,50,True,25.5
6,15,100,True,17.0
6,15,500,True,31.0
6,15,1000,True,24.0
6,15,5000,True,19.0
6,15,10000,True,25.5
12,66,10,False,50026.0
12,66,50,False,218.0
12,66,100,True,409.5
12,66,500,True,1364.0
12,66,1000,True,1461.5
12,66,5000,True,1311.0
12,66,10000,True,1474.5
25,300,10,False,100000.0
25,300,50,False,100000.0
25,300,100,False,100000.0
25,300,500,False,100000.0
25,300,1000,False,11456.0
25,300,5000,True,41494.5
25,300,10000,True,78259.0
50,1225,10,False,100000.0
50,1225,50,False,100000.0
50,1225,100,False,100000.0
50,1225,500,False,100000.0
50,1225,1000,False,100000.0
50,1225,5000,False,100000.0
50,1225,10000,False,100000.0
100,4950,10,False,100000.0
100,4950,50,False,100000.0
100,4950,100,False,100000.0
100,4950,500,False,100000.0
100,4950,1000,False,100000.0
100,4950,5000,False,100000.0
100,4950,10000,False,100000.0
